ntb_code,ntb_label,ics_codes,preferred_query_for
10,기계ㆍ소재,25;77;81;83,
20,전기ㆍ전자,29;31,
30,정보통신,35,
40,화학,71,
50,바이오ㆍ의료,07.080;11,
60,에너지ㆍ자원,27,
70,지식서비스,35,
80,세라믹,81,81
A,기계,25,
B,재료,77;81;83,
C,전기전자,29;31,
D,정보통신,35,
E,생명·보건,07.080;11,
EA,기계,25,25
EB,재료,77;81;83,77;83
EC,화공,71,71
ED,전기/전자,29;31,29;31
EE,정보/통신,35,35
EF,에너지/자원,27,27
EG,원자력,27,
EH,환경,13,13
EI,건설/교통,43;45;47;49;91;93,43;45;47;49;91;93
F,섬유·화학,59;71,59
G,환경,13,
H,에너지·자원,27,
HA,역사/고고학,,
HB,철학/종교,,
HC,언어,,
HD,문학,,
HE,문화/예술/체육,,
I,건설·교통,43;45;47;49;91;93,
J,기타,,
LA,생명과학,07.080,07.080
LB,농림수산식품,65;67,65;67
LC,보건의료,11,11
NA,수학,,
NB,물리학,,
NC,화학,71,
ND,지구과학(지구/대기/해양/천문),13,
OA,뇌과학,11,
OB,인지/감성과학,11,
OC,과학기술과 인문사회,,
SA,법,,
SB,정치/행정,,
SC,경제/경영,,
SD,사회/인류/복지/여성,,
SE,생활,,
SF,지리/지역/관광,,
SG,심리,,
SH,교육,,
SI,미디어/커뮤니케이션/문헌정보,35,
해당없음,기타,,
